"DESCRIPTION","DURATION IN MS","NAME","PARENT SUITE","START TIME","STATUS","STOP TIME","SUB SUITE","SUITE","TEST CLASS","TEST METHOD"
"","4577","Example #3","chromium","Thu Mar 12 11:55:13 UTC 2026","passed","Thu Mar 12 11:55:18 UTC 2026","Login Feature > Login failed with invalid credentials","tests/features/login.feature.spec.js","",""
"","15165","User can add 3 products and checkout successfully","chromium","Thu Mar 12 11:54:42 UTC 2026","passed","Thu Mar 12 11:54:57 UTC 2026","Checkout Feature","tests/features/checkout.feature.spec.js","",""
"","4686","Login success with valid credential","chromium","Thu Mar 12 11:54:59 UTC 2026","passed","Thu Mar 12 11:55:04 UTC 2026","Login Feature","tests/features/login.feature.spec.js","",""
"","4613","Example #2","chromium","Thu Mar 12 11:55:08 UTC 2026","passed","Thu Mar 12 11:55:13 UTC 2026","Login Feature > Login failed with invalid credentials","tests/features/login.feature.spec.js","",""
"","4575","Example #1","chromium","Thu Mar 12 11:55:04 UTC 2026","passed","Thu Mar 12 11:55:08 UTC 2026","Login Feature > Login failed with invalid credentials","tests/features/login.feature.spec.js","",""
