"DESCRIPTION","DURATION IN MS","NAME","PARENT SUITE","START TIME","STATUS","STOP TIME","SUB SUITE","SUITE","TEST CLASS","TEST METHOD"
"","15011","User can add 3 products and checkout successfully","chromium","2026-06-16","broken","2026-06-16","Checkout Feature","tests/features/checkout.feature.spec.js","",""
"","4721","Login success with valid credential","chromium","2026-06-16","broken","2026-06-16","Login Feature","tests/features/login.feature.spec.js","",""
"","4558","Example #1","chromium","2026-06-16","broken","2026-06-16","Login Feature > Login failed with invalid credentials","tests/features/login.feature.spec.js","",""
"","4548","Example #3","chromium","2026-06-16","broken","2026-06-16","Login Feature > Login failed with invalid credentials","tests/features/login.feature.spec.js","",""
"","4604","Example #2","chromium","2026-06-16","broken","2026-06-16","Login Feature > Login failed with invalid credentials","tests/features/login.feature.spec.js","",""
