"DESCRIPTION","DURATION IN MS","NAME","PARENT SUITE","START TIME","STATUS","STOP TIME","SUB SUITE","SUITE","TEST CLASS","TEST METHOD"
"","4661","Example #2","chromium","2026-06-02","broken","2026-06-02","Login Feature > Login failed with invalid credentials","tests/features/login.feature.spec.js","",""
"","15317","User can add 3 products and checkout successfully","chromium","2026-06-02","broken","2026-06-02","Checkout Feature","tests/features/checkout.feature.spec.js","",""
"","4664","Example #1","chromium","2026-06-02","broken","2026-06-02","Login Feature > Login failed with invalid credentials","tests/features/login.feature.spec.js","",""
"","4659","Example #3","chromium","2026-06-02","broken","2026-06-02","Login Feature > Login failed with invalid credentials","tests/features/login.feature.spec.js","",""
"","4852","Login success with valid credential","chromium","2026-06-02","broken","2026-06-02","Login Feature","tests/features/login.feature.spec.js","",""
