"DESCRIPTION","DURATION IN MS","NAME","PARENT SUITE","START TIME","STATUS","STOP TIME","SUB SUITE","SUITE","TEST CLASS","TEST METHOD"
"","4775","Login success with valid credential","chromium","2026-06-10","broken","2026-06-10","Login Feature","tests/features/login.feature.spec.js","",""
"","4653","Example #1","chromium","2026-06-10","broken","2026-06-10","Login Feature > Login failed with invalid credentials","tests/features/login.feature.spec.js","",""
"","15041","User can add 3 products and checkout successfully","chromium","2026-06-10","broken","2026-06-10","Checkout Feature","tests/features/checkout.feature.spec.js","",""
"","4626","Example #3","chromium","2026-06-10","broken","2026-06-10","Login Feature > Login failed with invalid credentials","tests/features/login.feature.spec.js","",""
"","4644","Example #2","chromium","2026-06-10","broken","2026-06-10","Login Feature > Login failed with invalid credentials","tests/features/login.feature.spec.js","",""
