"DESCRIPTION","DURATION IN MS","NAME","PARENT SUITE","START TIME","STATUS","STOP TIME","SUB SUITE","SUITE","TEST CLASS","TEST METHOD"
"","4955","Login success with valid credential","chromium","Thu Apr 16 14:59:47 UTC 2026","passed","Thu Apr 16 14:59:52 UTC 2026","Login Feature","tests/features/login.feature.spec.js","",""
"","4873","Example #1","chromium","Thu Apr 16 14:59:52 UTC 2026","passed","Thu Apr 16 14:59:57 UTC 2026","Login Feature > Login failed with invalid credentials","tests/features/login.feature.spec.js","",""
"","4902","Example #2","chromium","Thu Apr 16 14:59:57 UTC 2026","passed","Thu Apr 16 15:00:02 UTC 2026","Login Feature > Login failed with invalid credentials","tests/features/login.feature.spec.js","",""
"","4886","Example #3","chromium","Thu Apr 16 15:00:02 UTC 2026","passed","Thu Apr 16 15:00:07 UTC 2026","Login Feature > Login failed with invalid credentials","tests/features/login.feature.spec.js","",""
"","15505","User can add 3 products and checkout successfully","chromium","Thu Apr 16 14:59:31 UTC 2026","passed","Thu Apr 16 14:59:46 UTC 2026","Checkout Feature","tests/features/checkout.feature.spec.js","",""
