"DESCRIPTION","DURATION IN MS","NAME","PARENT SUITE","START TIME","STATUS","STOP TIME","SUB SUITE","SUITE","TEST CLASS","TEST METHOD"
"","4703","Example #1","chromium","Thu Mar 12 11:44:41 UTC 2026","passed","Thu Mar 12 11:44:46 UTC 2026","Login Feature > Login failed with invalid credentials","tests/features/login.feature.spec.js","",""
"","4812","Login success with valid credential","chromium","Thu Mar 12 11:44:36 UTC 2026","passed","Thu Mar 12 11:44:41 UTC 2026","Login Feature","tests/features/login.feature.spec.js","",""
"","15316","User can add 3 products and checkout successfully","chromium","Thu Mar 12 11:44:19 UTC 2026","passed","Thu Mar 12 11:44:34 UTC 2026","Checkout Feature","tests/features/checkout.feature.spec.js","",""
"","4692","Example #2","chromium","Thu Mar 12 11:44:46 UTC 2026","passed","Thu Mar 12 11:44:50 UTC 2026","Login Feature > Login failed with invalid credentials","tests/features/login.feature.spec.js","",""
"","4750","Example #3","chromium","Thu Mar 12 11:44:50 UTC 2026","passed","Thu Mar 12 11:44:55 UTC 2026","Login Feature > Login failed with invalid credentials","tests/features/login.feature.spec.js","",""
